hhnum,snapnowhh,inchhavg_r,hhsize,hh_expenses,med_expenses,sum_snap_dist,fah_paid,fafh_paid,totalpaid
100389,0,3360.0,2,257.09,176.5,22.16,73.16,7.84,80.99
100391,0,2500.0,3,273.33,16.67,5.65,34.26,0.71,34.97
100426,0,0.0,3,72.67,0.0,2.3200000000000003,45.43,3.39,48.82
100436,1,4190.0,7,93.57,0.0,12.02,49.92,12.68,62.6
100438,0,1800.0,2,605.0,10.0,8.15,79.33,3.1,82.44
100442,0,5459.0,2,740.0,399.0,24.39,92.1,24.46,116.55
100444,1,2962.01973904075,5,125.0,0.0,9.33,14.4,2.27,16.67
100446,0,2183.21365111128,1,341.0,38.0,34.620000000000005,23.67,63.57,87.24
100447,0,8070.03037,1,1500.0,0.0,5.97,53.75,0.79,54.54
100457,0,4400.0,3,282.78,103.33,5.49,28.78,18.74,47.52
100459,0,3936.97708279647,2,173.34,90.0,19.53,41.54,28.88,70.42
100460,1,2267.52595331973,3,288.33,0.0,7.52,62.57,55.09,117.66
100461,1,910.0,4,65.0,0.0,34.72,112.78,8.62,121.4
100464,0,700.0,1,297.0,56.0,42.24,11.45,2.09,13.54
100485,1,2121.93030058063,6,130.0,8.33,25.59,34.78,2.46,37.23
100493,0,15348.0394262297,3,1327.78,524.0,8.629999999999999,141.63,43.25,184.88
100494,0,3173.33,1,902.0,163.75,14.85,27.3,0.0,27.3
100499,0,4610.56795202,2,492.5,0.0,5.4399999999999995,15.0,9.25,24.25
100501,1,605.0,3,80.0,6.67,7.9399999999999995,68.2,10.14,78.34
100502,1,4470.34,6,109.17,27.17,39.91,38.26,0.68,38.94
100504,0,4722.0,2,367.92,334.5,3.0900000000000003,93.6,21.18,114.77
100509,0,7000.0,2,403.34,350.84,4.62,46.96,3.9,50.86
100513,0,5044.0,2,693.0,20.0,73.30000000000001,54.56,8.41,62.97
100514,1,1406.0,4,127.0,17.5,6.789999999999999,14.34,20.96,35.3
100520,1,828.0,1,350.0,12.0,5.19,86.07,2.93,89.0
100529,1,1970.1,4,156.25,85.71,3.04,14.22,6.94,21.16
100533,0,4271.0,2,238.58,145.5,12.229999999999999,40.92,34.56,75.48
100534,1,1100.0,3,122.67,28.33,5.389999999999999,28.0,35.89,63.89
100539,1,1522.738,4,114.0,0.0,48.03,30.2,10.58,40.78
100545,0,1455.9,1,412.0,323.53,51.43000000000001,87.15,45.69,132.84
100554,1,1021.0,2,162.0,0.0,6.8500000000000005,53.08,14.74,67.83
100558,0,4377.1,4,310.0,108.5,5.67,26.54,25.87,52.41
100562,1,2353.67,10,80.7,0.0,8.82,15.08,22.66,37.74
100572,0,4340.0,3,709.44,0.0,4.8,3.32,18.57,21.89
100575,1,1677.0,3,114.33,63.0,4.76,1.33,7.1,8.42
100580,0,3160.738,4,301.75,25.0,4.89,32.11,36.08,68.19
100594,0,1341.0,2,74.67,128.0,39.78,61.88,226.9,288.77
100622,0,2040.0,2,290.0,62.5,10.09,37.38,15.42,52.81
100623,0,11040.0,5,619.5,263.33,5.630000000000001,42.5,6.65,49.15
100633,0,6680.0,3,531.67,150.0,7.12,26.4,22.98,49.38
100641,1,1484.25384137947,5,201.2,135.0,14.58,41.75,23.36,65.11
100649,1,1015.0,1,591.0,87.0,8.95,123.47,29.0,152.47
100656,1,4695.0,4,316.0,167.5,3.25,78.86,38.57,117.44
100661,0,6960.0,4,259.42,132.5,78.91,22.12,6.94,29.06
100663,0,11340.0,3,737.78,190.0,12.270000000000001,60.78,0.7,61.48
100666,0,1950.0,2,37.5,219.0,10.549999999999999,75.1,69.05,144.15
100671,1,453.0,2,47.0,0.0,4.32,56.09,78.9,134.99
100681,0,2166.67,3,257.0,41.0,3.869999999999999,52.92,21.76,74.68
100686,0,1540.0,1,422.38,0.0,9.559999999999999,59.49,82.45,141.94
100689,0,20226.09,2,282.5,125.0,11.41,161.44,42.98,204.42
100690,0,1250.0,1,333.53,523.0,6.38,4.02,0.0,4.02
100697,0,6574.47869683669,3,378.33,0.0,5.9799999999999995,28.52,12.99,41.51
100700,0,1820.0,3,183.33,0.0,10.510000000000002,45.44,34.15,79.6
100705,0,2710.0,3,694.0,190.33,34.57,4.07,6.73,10.8
100714,1,225.0,1,159.75,4.0,19.48,22.85,21.0,43.85
100719,0,3120.0,2,276.5,17.5,8.37,39.44,35.5,74.94
100722,0,2780.0,4,176.36,143.75,14.26,37.41,29.58,66.98
100726,0,3240.0,3,294.0,33.33,12.49,9.17,0.0,9.17
100741,0,6413.338,5,272.6,45.0,7.43,59.42,27.78,87.2
100742,0,2049.67,4,228.75,54.17,10.93,37.94,48.57,86.51
100761,1,3729.0,4,333.75,13.5,5.640000000000001,3.73,8.0,11.73
100781,0,3436.0,5,164.0,0.0,6.96,26.25,52.9,79.14
100784,1,3890.6,4,64.5,32.5,4.59,20.09,8.27,28.36
100785,1,1239.0,2,393.61,220.6,2.85,15.76,6.0,21.76
100792,0,4900.0,3,233.33,7.99,29.550000000000004,16.92,10.8,27.73
100796,0,8666.66999999999,2,200.0,21.34,63.86,121.98,38.13,160.11
100798,0,4779.67,4,379.17,20.0,69.17,25.07,9.07,34.14
100799,0,11578.67,5,241.07,55.0,47.769999999999996,30.45,9.27,39.72
100804,1,1100.0,1,2582.0,315.0,5.33,1.85,4.25,6.1
100808,0,2380.0,2,653.0,96.5,17.08,64.26,3.18,67.44
100810,0,6400.33,4,317.5,155.0,23.910000000000004,43.03,4.8,47.82
100813,0,5325.65956074,4,656.0,0.0,12.920000000000002,25.54,4.0,29.54
100816,0,0.0,3,165.13,90.0,4.4,69.11,11.23,80.34
100822,0,480.0,2,299.0,0.0,6.67,11.33,6.46,17.79
100831,0,5388.0,2,293.0,172.5,39.22,39.64,25.85,65.5
100832,1,2897.0,4,221.0,71.75,9.99,37.84,31.59,69.43
100835,0,9099.99999999999,1,1513.0,82.0,5.21,35.02,26.67,61.69
100841,0,2390.82392842589,2,348.0,157.5,4.76,24.85,8.75,33.6
100857,0,4200.0,5,228.67,80.6,7.959999999999999,23.49,5.6,29.09
100875,0,3164.0,7,200.43,42.86,3.8000000000000003,31.87,11.08,42.95
100885,0,1900.0,1,169.0,666.67,34.45,140.31,23.52,163.83
100888,0,7835.0,4,838.33,214.5,9.780000000000001,80.87,2.72,83.59
100889,0,2638.6224483892,5,168.8,225.4,63.5,24.17,6.13,30.3
100900,1,3910.0,5,277.2,54.0,5.74,6.26,1.59,7.86
100901,1,1815.33,6,101.67,36.67,48.620000000000005,3.84,1.29,5.14
100905,1,2740.65686602,2,12.5,11.5,12.21,172.98,30.9,203.89
100908,1,700.0,1,208.0,11.0,5.569999999999999,42.29,5.24,47.53
100917,0,2760.38639816029,4,230.5,52.5,17.98,40.59,25.58,66.18
100920,1,4200.0,2,709.0,165.0,35.16,88.97,14.38,103.35
100927,1,55.0,1,89.5,14.0,7.9,3.28,30.55,33.83
100933,0,1950.0,1,745.0,34.0,6.67,95.88,40.74,136.62
100934,0,4024.0,2,411.12,537.0,40.77,9.01,7.1,16.11
100939,1,929.0,1,307.0,5.5,5.13,0.0,19.02,19.02
100948,0,3229.0,2,326.33,122.08,5.41,101.54,14.07,115.61
100958,0,4800.0,2,323.83,487.5,14.759999999999998,31.06,16.26,47.31
101000,0,1478.1634661009,1,110.0,0.0,18.639999999999997,26.72,10.0,36.72
101011,1,2574.55,3,114.94,94.0,10.57,46.22,130.14,176.35
101013,0,1700.0,1,735.0,520.0,27.200000000000003,111.42,68.55,179.97
101014,0,854.0,1,258.0,0.0,4.84,16.18,45.6,61.78
101018,0,13150.0,4,653.25,98.54,11.219999999999999,40.19,11.77,51.96
101024,1,583.416409808,2,84.0,0.0,70.19,7.25,1.25,8.5
101031,0,2261.0,2,335.0,88.5,1.72,88.94,1.25,90.19
101036,1,2182.0,2,332.0,52.5,29.490000000000002,7.92,2.5,10.42
101046,0,4593.332,4,225.5,38.0,5.760000000000001,18.58,6.84,25.41
101056,0,800.0,1,450.0,13.0,6.579999999999999,18.85,2.0,20.85
101057,0,1120.0,5,163.33,0.0,32.53,6.69,0.0,6.69
101061,0,7266.0,2,1240.0,50.0,6.239999999999999,45.08,1.98,47.06
101062,0,2162.062,5,233.0,0.0,5.720000000000001,27.62,1.4,29.02
101063,1,1300.0,3,109.0,1.67,9.129999999999999,43.98,23.37,67.35
101078,0,2480.83584579567,2,164.0,42.0,6.0,195.32,43.38,238.7
101081,1,766.477502732779,2,340.0,0.0,10.100000000000001,21.06,1.2,22.26
101083,0,2240.0,4,109.5,0.0,9.06,5.01,1.75,6.76
101090,0,1951.4007182006,1,625.0,725.0,22.41,130.48,249.06,379.54
101094,1,3578.17,4,223.0,4.5,6.71,31.51,12.69,44.2
