"eventid","hhnum","whogotpnum","athome","date","date_flag","startmon","daynum","daynum_flag","placeid","placecateg","placecateg_ers","placetype","placeedit_type","placeedit_spaces","placeedit_case","placeedit_name","placeclean_flag","placedist_s","placedist_d","placetime_d","placedist_w","placetime_w","placesnap","placesnap_flag","placesnaptype","free","free_flag","totalpaid","totalpaid_flag","receiptreportedbp","receiptreportedph","receiptobserved","couponsreported","couponsobserved","loyaltycard","storesavings","couponsgeneral","paytypenum","cash","check","creditcard","debitcard","ebt_snap","ebt_snapamt","snapamt_flag","ebt_tanf","ebt_tanfamt","ebt_unk","ebt_unkamt","wic","wicamt","wicamt_flag","giftcard","paytype_flag","itemstot","itemsscanned","itemsbook","itemsblue","itemsreceipt","nummissprices","iteminfotype","reportmethod","booktype","bookpnum","startdate_flag","scandate_flag","abletoscanbp","abletoscanph","practice_flag","manualmatch_flag","moved_flag","multplaces_flag"
41656,115313,1,1,10/1/2012,0,9,7,0,1124820,1,,123,,,,,3,12.0339501868937,14.781,19.47,-996,-996,1,0,"SS",0,0,196.28,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,24,18,3,0,3,,1,6,"Primary",1,0,0,1,0,0,0,0,0
55759,115313,1,1,9/27/2012,0,9,3,0,1145254,1,,122,,,,,3,2.62257232085933,3.5,7.8,-996,-996,1,0,"SM",0,0,39.71,0,1,-996,1,0,0,1,1,0,1,0,0,1,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,6,2,1,0,3,,1,2,"Primary",1,0,0,1,-996,0,0,0,0
65913,115324,1,1,9/7/2012,0,9,4,0,1050698,1,,121,,,,,3,0.540052423100926,1.284,7.7,0.61,12,1,0,"SS",0,0,14.86,0,1,-996,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,6,5,0,0,0,5,,1,2,"Primary",1,0,0,,-996,0,0,0,0
65914,115324,1,1,9/9/2012,0,9,6,0,1050698,1,,121,,,,,3,0.540052423100926,1.284,7.7,0.61,12,1,0,"SS",0,0,2.75,0,1,-996,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,0,0,1,1,,1,2,"Primary",1,0,0,3,-996,0,0,0,0
63855,115325,1,1,11/27/2012,0,11,2,0,1098711,1,,106,,,,,3,0.703748893607032,0.849,2.13,0.849,17.15,1,0,"CO",0,0,1.08,0,1,-996,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,1,0,0,0,,1,2,"Primary",1,0,0,1,-996,0,0,0,0
63856,115325,1,1,11/28/2012,0,11,3,0,1086412,1,,122,,,,,3,1.43257039037927,2.06,5.38,-996,-996,1,0,"SM",0,0,85.56,0,1,-996,1,0,0,0,1,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,43,26,6,6,5,,1,2,"Primary",1,0,0,2,-996,0,0,0,0
63857,115325,1,1,12/2/2012,0,11,7,0,1086412,1,,122,,,,,3,1.43257039037927,2.06,5.38,-996,-996,1,0,"SM",0,0,7.26,0,1,-996,1,,0,,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,2,0,0,0,,1,2,"Primary",1,0,0,3,-996,0,0,0,0
36752,115329,1,1,9/13/2012,0,9,2,0,1043085,1,,122,,,,,3,0.623677444851112,0.775,3.38,0.727,14.33,1,0,"SM",0,0,19.94,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,7,5,2,0,0,,1,6,"Primary",1,0,0,2,0,0,0,0,0
48508,115329,1,1,9/14/2012,0,9,3,0,1008589,1,,122,,,,,3,0.62050155524687,0.761,3.15,0.761,14.85,1,0,"SM",0,0,5.98,0,1,-996,1,0,1,1,0,1.5,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,2,0,0,0,,1,2,"Primary",1,0,0,1,-996,0,0,0,0
58554,115331,1,1,12/6/2012,0,12,3,0,1153966,1,,122,,,,,3,4.96765354390144,5.115,11.75,-996,-996,1,0,"SM",0,0,4.78,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,0,0,2,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
58555,115331,1,1,12/7/2012,0,12,4,0,1014838,1,,122,,,,,3,4.76214086644959,4.752,11.2,-996,-996,1,0,"SM",0,0,7.77,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,2,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
59205,115331,1,1,12/10/2012,0,12,7,0,1082840,1,,121,,,,,3,4.01979853384402,5.894,13.5,-996,-996,1,0,"SS",0,0,81.34,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,81.34,0,0,-996,0,-996,0,-996,-996,0,7,38,38,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
59206,115331,1,1,12/10/2012,0,12,7,0,1068981,1,,122,,,,,3,5.83949329404417,5.894,13.85,-996,-996,1,0,"SM",0,0,15.78,0,,1,1,,0,,1,0,1,0,0,0,0,1,15.78,0,0,-996,0,-996,0,-996,-996,0,0,5,2,0,0,3,,1,6,"Primary",1,0,0,,0,0,0,0,0
11263,115337,1,1,5/29/2012,0,5,4,0,1069719,1,,106,,,,,3,5.06981391791441,6.416,16.08,-996,-996,1,0,"CO",0,0,2,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,2,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
11852,115337,1,1,6/1/2012,0,5,7,0,1031044,1,,122,,,,,3,6.95817138650154,10.025,19.95,-996,-996,1,0,"SM",0,0,40.84,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,10,9,0,0,1,,1,6,"Primary",1,0,0,1,0,0,0,0,0
