"hhnum","infousa_flag","snap1","snap2","snap3","snap4","snap5","snap6","snap7","snap8","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","sm1","sm2","sm3","sm4","sm5","sm6","sm7","sm8","co1","co2","co3","co4","co5","co6","co7","co8","cs1","cs2","cs3","cs4","cs5","cs6","cs7","cs8","mlg1","mlg2","mlg3","mlg4","mlg5","mlg6","mlg7","mlg8","dist_ss","dist_sm","dist_co","dist_cs","dist_mlg","dist_walmart","nearsnap_placeid","nearsnap_stype","nearsnap_dist","nearsmss_placeid","nearsmss_stype","nearsmss_dist","ff1","ff2","ff3","ff4","ff5","ff6","ff7","ff8","nonff1","nonff2","nonff3","nonff4","nonff5","nonff6","nonff7","nonff8","nearff_sic1","nearff_sic2","nearff_dist","nearnonff_sic1","nearnonff_sic2","nearnonff_dist","nearmcd_sic1","nearmcd_sic2","nearmcd_dist"
117955,1,1,1,1,6,17,58,70,407,0,0,0,0,1,2,3,21,1,1,1,1,3,7,7,39,0,0,0,3,7,21,24,133,0,0,0,1,4,20,24,151,0,0,0,0,0,0,2,17,3.21,0.25,1.37,1.37,11.21,3.21,1086941,"SM",0.25,1086941,"SM",0.25,0,0,0,5,21,32,35,69,1,1,1,12,41,64,73,138,581208,581206,1.62,581208,581208,0.25,581208,581206,2.94027662650161
117956,1,0,0,2,2,17,79,216,1320,0,0,0,0,4,13,33,124,0,0,0,0,3,12,27,119,0,0,1,1,7,20,58,268,0,0,1,1,2,28,82,616,0,0,0,0,0,1,8,92,2.73,3.57,0.96,0.52,7.13,4.59,1139127,"CS",0.52,1025122,"SS",2.73,0,0,0,0,17,93,225,973,0,0,0,0,26,152,401,2515,581208,581206,3.02,581222,581208,2.7,581208,581206,4.55343076788856
117962,1,0,1,4,46,133,554,1005,1782,0,0,0,2,4,29,45,84,0,0,1,9,20,69,119,215,0,0,0,8,32,137,265,518,0,1,2,23,62,254,449,757,0,0,1,3,7,23,45,87,1.11,0.96,1.52,0.27,0.96,2.72,1034357,"CS",0.27,1025491,"SM",0.96,1,1,3,22,83,194,196,196,0,0,6,64,251,587,607,608,581222,581206,0.18,581212,581212,0.7,581208,581206,1.6284015159737
117964,1,0,0,0,22,149,280,316,429,0,0,0,4,13,26,31,43,0,0,0,2,13,27,30,37,0,0,0,4,27,52,58,86,0,0,0,8,66,123,139,184,0,0,0,2,5,10,11,13,1.25,1.5,1.26,1.4,1.26,6.69,,"BB",1.25,1037960,"SS",1.25,0,0,0,18,96,183,214,221,0,0,2,43,390,658,722,765,581208,581208,1.24,581208,581208,0.68,581208,581206,1.33721234042209
117965,1,0,0,0,6,56,227,326,361,0,0,0,4,15,49,80,85,0,0,0,0,1,8,10,12,0,0,0,1,12,64,97,108,0,0,0,1,14,58,77,87,0,0,0,0,1,8,10,15,1.41,3.8,1.03,1.29,4.52,2.58,1091798,"CO",1.03,1022912,"SS",1.41,0,0,0,12,50,68,75,81,0,0,2,27,99,139,149,178,581208,581206,1.14,581228,581228,0.77,581208,581206,1.33027619895675
117971,1,0,1,8,32,162,579,1044,1760,0,0,0,0,7,27,48,83,0,0,2,5,24,70,118,212,0,0,2,9,37,136,270,513,0,1,3,12,78,271,470,745,0,0,0,3,9,31,52,85,2.43,0.75,0.74,0.31,1.33,2.66,,"CS",0.31,1145949,"SM",0.75,0,0,15,32,81,170,195,196,0,1,38,115,277,511,604,608,581208,581206,0.71,581220,581208,0.43,581208,581206,0.706299650179699
117972,1,1,4,9,42,123,153,160,219,0,0,0,1,5,6,7,10,0,1,1,2,6,8,8,9,0,1,2,11,31,43,44,61,1,2,6,26,76,89,94,128,0,0,0,0,1,2,2,4,1.88,0.46,0.46,0.23,3.94,2.43,,"CS",0.23,1114620,"SM",0.46,1,13,22,29,98,122,125,131,4,12,50,96,247,315,338,364,581208,581206,0.24,581208,581208,0.09,581208,581206,0.381963292044553
117973,1,0,2,16,96,442,758,919,1063,0,0,1,5,13,31,42,47,0,0,0,7,19,47,61,79,0,1,5,29,95,176,227,278,0,1,6,40,240,370,436,484,0,0,1,5,23,39,44,51,0.56,1.21,0.5,0.38,0.94,2.27,,"CS",0.38,1154643,"SS",0.56,0,0,4,34,111,256,313,345,0,0,33,182,576,1198,1412,1579,546105,581228,0.61,581208,581208,0.58,581208,581206,1.35974512045877
117979,1,1,10,23,99,387,810,1127,1739,0,0,2,4,17,50,88,192,1,2,2,5,18,52,76,128,0,3,5,19,75,185,289,506,0,4,12,49,149,331,446,618,0,1,1,10,24,54,67,92,0.65,0.07,0.36,0.31,0.46,4.17,1158534,"SM",0.07,1158534,"SM",0.07,6,10,13,36,151,374,519,573,5,14,38,137,675,1512,2156,2390,581208,581206,0.08,581208,581208,0.07,581208,581206,0.30011920464397
117980,1,1,3,8,28,85,209,291,1270,0,2,2,3,8,29,39,118,0,0,1,3,10,20,29,86,1,1,4,9,27,70,105,343,0,0,0,9,29,66,83,472,0,0,1,2,6,12,16,73,0.35,0.95,0.25,1.07,0.73,3.61,,"CO",0.25,1117488,"SS",0.35,0,1,15,24,57,124,125,130,0,0,22,52,116,310,325,337,581208,581208,0.39,701101,581208,0.53,581208,581206,0.834657911910832
